data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00299	0.76310	0.72730	0.64234	0.70946	0.71289	0.64650	0.67601	0.82796	0.73037	0.69717	0.69437	0.95549	0.87778	0.61954	0.70655	0.53938	1.00000	0.66483	0.63847	0.74398	0.64650	0.73153	0.71836	0.53725	0.65740	0.60151	0.56173	0.68554	0.56948	0.61419	0.58448	0.67339	0.50077	0.57022	0.82763	0.71111	0.70072	0.71111	0.68756	0.59251	0.62590	0.57912	0.73451	0.56619	0.69629	0.72330	0.72469	0.73997	0.60258	0.68332	0.59251	0.72195	0.69518	0.54412	
D00312	0.67461	0.71357	0.80124	0.72070	0.71473	0.60630	0.75255	0.65797	0.70411	0.68075	0.69607	0.68080	0.68832	0.56972	0.67173	0.54845	0.66142	1.00000	0.59652	0.69267	0.60630	0.63974	0.68290	0.55905	0.72491	0.61321	0.58886	0.66000	0.59169	0.61579	0.59676	0.62500	0.53443	0.59687	0.64481	0.73343	0.66885	0.73343	0.66421	0.59138	0.60616	0.60771	0.63265	0.57449	0.64684	0.70870	0.72214	0.66607	0.58641	0.68839	0.61348	0.70438	0.77501	0.53443	
D00316	0.60910	0.65716	0.62703	0.63005	0.62323	0.69523	0.60095	0.64995	0.64107	0.60187	0.63623	0.62632	0.63800	0.53820	0.60156	0.69987	0.63120	0.59182	1.00000	0.64601	0.69523	0.60953	0.64994	0.64391	0.60978	0.68819	0.69221	0.64831	0.62594	0.66091	0.62957	0.59019	0.61999	0.69716	0.61951	0.64641	0.60672	0.64641	0.61189	0.66439	0.64784	0.60696	0.59743	0.69940	0.58745	0.66318	0.60089	0.60747	0.64922	0.63798	0.61886	0.63941	0.60841	0.61123	
D00327	0.72942	0.82449	0.72832	0.83754	0.81340	0.63273	0.75534	0.76034	0.76816	0.76023	0.84533	0.73225	0.75091	0.61232	0.75464	0.57010	0.74103	0.69321	0.65112	1.00000	0.63273	0.70880	0.85654	0.56117	0.77595	0.59232	0.56449	0.77828	0.59930	0.60957	0.59141	0.76716	0.52442	0.57228	0.73499	0.83125	0.74365	0.83125	0.81986	0.60732	0.61317	0.62769	0.68876	0.58899	0.68031	0.81334	0.70946	0.78597	0.61752	0.81406	0.58392	0.77804	0.78041	0.56930	
D00348	0.61273	0.63023	0.62961	0.64729	0.64120	0.99032	0.62558	0.64570	0.61574	0.58760	0.63817	0.65063	0.66190	0.54768	0.60622	0.60516	0.63810	0.60021	0.69340	0.62628	1.00000	0.61290	0.62770	0.61104	0.63270	0.64212	0.62574	0.61961	0.62990	0.63462	0.58752	0.59142	0.56521	0.65059	0.65122	0.63431	0.61370	0.63431	0.60748	0.62384	0.61136	0.64851	0.60147	0.64339	0.59881	0.61920	0.60439	0.59050	0.58232	0.60766	0.59708	0.63677	0.61668	0.59388	
D00443	0.73953	0.71836	0.63766	0.68795	0.71640	0.62131	0.64966	0.69675	0.73578	0.70213	0.70537	0.72114	0.70818	0.64564	0.71569	0.55563	0.73153	0.64315	0.61680	0.71175	0.62131	1.00000	0.70430	0.54809	0.67250	0.59067	0.54548	0.67090	0.58031	0.61419	0.57364	0.74233	0.50618	0.55206	0.68839	0.70511	0.72094	0.70511	0.72347	0.61419	0.64216	0.58864	0.90395	0.57702	0.66154	0.72844	0.77374	0.71106	0.62426	0.70156	0.58709	0.72327	0.64670	0.54412	
D00462	0.79468	0.86310	0.75726	0.84676	0.77395	0.63254	0.77580	0.72496	0.84115	0.81011	0.80376	0.71083	0.71886	0.58792	0.69514	0.57641	0.71359	0.68124	0.65327	0.85439	0.63254	0.69976	1.00000	0.56635	0.74591	0.60145	0.56287	0.73754	0.59487	0.60390	0.58597	0.66931	0.53938	0.57164	0.71136	0.79140	0.72849	0.79140	0.74271	0.63280	0.59616	0.62687	0.68498	0.59048	0.67649	0.84596	0.72735	0.70670	0.59186	0.74650	0.61835	0.73328	0.76352	0.56828	
D00506	0.51805	0.55635	0.58204	0.56479	0.53741	0.60414	0.56763	0.54139	0.53948	0.52024	0.55371	0.52617	0.53507	0.48716	0.51657	0.73897	0.52498	0.54827	0.63583	0.55015	0.60414	0.53582	0.55635	1.00000	0.55521	0.71770	0.71742	0.58486	0.61370	0.66995	0.62515	0.53339	0.73094	0.69935	0.52872	0.55816	0.53761	0.55816	0.59610	0.63801	0.59584	0.64525	0.52787	0.64363	0.54942	0.55557	0.52445	0.50754	0.58311	0.52786	0.61405	0.55816	0.56548	0.62473	
D00554	0.67781	0.72455	0.91030	0.83358	0.80822	0.63632	0.93829	0.70494	0.71731	0.66871	0.89991	0.66541	0.69589	0.56842	0.69625	0.56750	0.65218	0.72353	0.61175	0.77246	0.63632	0.66682	0.74440	0.56442	1.00000	0.62100	0.63127	0.71034	0.61894	0.60012	0.61542	0.66713	0.55867	0.64080	0.67533	0.88606	0.70420	0.88606	0.81262	0.60563	0.58769	0.63291	0.65638	0.60123	0.65284	0.72750	0.67830	0.63807	0.60603	0.70239	0.61113	0.86505	0.80887	0.57437	
D00565	0.58533	0.61075	0.61416	0.59156	0.57757	0.64171	0.62562	0.58737	0.59063	0.56147	0.58592	0.59745	0.61113	0.51581	0.56401	0.75896	0.59287	0.60685	0.68562	0.58560	0.64171	0.58204	0.59630	0.72433	0.61705	1.00000	0.77894	0.60144	0.69169	0.72209	0.68042	0.59436	0.65771	0.77117	0.59581	0.58287	0.58438	0.58287	0.60357	0.75725	0.72519	0.75565	0.57007	0.68275	0.58708	0.60750	0.58362	0.58278	0.66747	0.57408	0.68776	0.59688	0.60143	0.57855	
D00577	0.53397	0.55438	0.62508	0.56273	0.55419	0.62087	0.61591	0.55147	0.54442	0.52928	0.57311	0.55876	0.57286	0.49609	0.52961	0.75127	0.55060	0.57946	0.68597	0.55482	0.62087	0.53434	0.55438	0.72015	0.62370	0.77438	1.00000	0.57624	0.65688	0.66021	0.64518	0.54569	0.71062	0.90217	0.54868	0.57026	0.54160	0.57026	0.56410	0.69972	0.62276	0.64720	0.52158	0.69280	0.55306	0.54680	0.52854	0.52906	0.61882	0.54152	0.69173	0.57026	0.58322	0.61958	
D00585	0.68527	0.76216	0.67275	0.73366	0.75028	0.62674	0.68012	0.67329	0.71853	0.71175	0.76350	0.69090	0.67580	0.59313	0.75631	0.56138	0.68349	0.66153	0.65416	0.77853	0.62674	0.66885	0.73983	0.59606	0.71390	0.60882	0.58642	1.00000	0.57688	0.62728	0.61190	0.72405	0.54848	0.58772	0.65859	0.78226	0.70572	0.78226	0.75162	0.61482	0.65253	0.58768	0.69065	0.58534	0.68223	0.74736	0.69840	0.70306	0.63429	0.77374	0.60875	0.73306	0.68746	0.54848	
D00586	0.56761	0.58881	0.63204	0.59887	0.58964	0.62828	0.62236	0.58511	0.57679	0.56991	0.59277	0.56879	0.58450	0.51468	0.55877	0.63422	0.56016	0.58450	0.62263	0.59177	0.62828	0.57100	0.58881	0.61947	0.61401	0.69045	0.66043	0.56874	1.00000	0.63675	0.62985	0.55364	0.63289	0.64524	0.56349	0.58962	0.57321	0.58962	0.56874	0.69784	0.61641	0.90393	0.55505	0.70460	0.56189	0.57966	0.55532	0.56440	0.60926	0.56673	0.63395	0.59662	0.60119	0.57996	
D00596	0.59584	0.63352	0.61849	0.60523	0.60095	0.63797	0.62020	0.60751	0.61645	0.58136	0.59873	0.61339	0.62301	0.54074	0.57818	0.63421	0.60805	0.61248	0.66326	0.60580	0.63797	0.60805	0.60209	0.67899	0.59979	0.72577	0.66758	0.62270	0.64144	1.00000	0.66686	0.59347	0.60127	0.67252	0.60734	0.59548	0.59974	0.59548	0.62845	0.64905	0.76703	0.65047	0.60445	0.64976	0.61610	0.63371	0.62184	0.59553	0.67311	0.58862	0.60997	0.59548	0.61542	0.57731	
D00627	0.58258	0.58820	0.60616	0.57706	0.58082	0.59214	0.61508	0.59425	0.58063	0.56763	0.58257	0.58339	0.59483	0.53082	0.57174	0.60117	0.57948	0.59483	0.63265	0.58899	0.59214	0.56865	0.58567	0.63500	0.61666	0.68535	0.65349	0.60859	0.63539	0.66839	1.00000	0.56971	0.57823	0.65506	0.57187	0.58657	0.57083	0.58657	0.59251	0.64637	0.65679	0.64846	0.56279	0.65952	0.58148	0.59046	0.58659	0.56243	0.67295	0.56973	0.67831	0.59149	0.59221	0.53418	
D00690	0.69994	0.69451	0.63276	0.70954	0.72174	0.60162	0.64725	0.67875	0.67453	0.70933	0.73304	0.67563	0.66327	0.67442	0.81910	0.54407	0.67660	0.63086	0.59945	0.77283	0.60162	0.74555	0.67649	0.54681	0.67526	0.60476	0.55816	0.72896	0.56460	0.60178	0.57708	1.00000	0.50294	0.55912	0.70635	0.72314	0.76379	0.72314	0.75711	0.58826	0.62370	0.58005	0.73870	0.55735	0.69812	0.69569	0.70246	0.68655	0.60723	0.77738	0.57474	0.68033	0.67681	0.43739	
D00730	0.49990	0.52666	0.57193	0.52603	0.51213	0.55465	0.55827	0.49990	0.51156	0.48827	0.52448	0.49140	0.50796	0.46365	0.48997	0.78185	0.48645	0.52115	0.60861	0.51098	0.55465	0.49187	0.52666	0.72522	0.54650	0.64734	0.70299	0.53474	0.62313	0.58922	0.56561	0.48783	1.00000	0.68230	0.49065	0.52237	0.48216	0.52237	0.52260	0.60519	0.53058	0.59509	0.48280	0.64572	0.50385	0.52033	0.47888	0.47518	0.55124	0.48945	0.58922	0.51537	0.52575	0.66080	
D00898	0.53620	0.56437	0.63766	0.56563	0.55654	0.64734	0.62756	0.55954	0.55381	0.53651	0.57583	0.56862	0.57538	0.50299	0.53660	0.71592	0.55999	0.58857	0.69239	0.56368	0.64734	0.54183	0.56437	0.70376	0.63455	0.76826	0.90412	0.57856	0.64347	0.66683	0.64798	0.54741	0.69111	1.00000	0.55608	0.57294	0.54918	0.57294	0.56674	0.69479	0.62511	0.65061	0.53336	0.66316	0.55998	0.55633	0.53631	0.53080	0.62121	0.54883	0.68680	0.57294	0.58570	0.59774	
D00930	0.72838	0.70906	0.65391	0.70954	0.73954	0.65439	0.67301	0.90857	0.70861	0.70605	0.70721	0.81759	0.82244	0.64954	0.67467	0.54853	0.82785	0.64817	0.62691	0.73813	0.65975	0.68862	0.71629	0.54107	0.68139	0.60457	0.55991	0.66083	0.57292	0.61362	0.57703	0.70333	0.50501	0.56641	1.00000	0.69545	0.71161	0.69545	0.69860	0.59220	0.62868	0.59663	0.68848	0.56966	0.70978	0.70511	0.69098	0.72789	0.59144	0.70604	0.59032	0.69813	0.69367	0.54250	
D00950	0.70155	0.82596	0.80779	0.91100	0.86498	0.63960	0.83276	0.71527	0.76741	0.68816	0.98462	0.72300	0.74055	0.60051	0.76056	0.55718	0.70702	0.73233	0.65023	0.82936	0.63960	0.70080	0.79169	0.56843	0.88782	0.58845	0.57907	0.77997	0.59608	0.59783	0.58746	0.71615	0.53529	0.58057	0.69073	1.00000	0.74027	1.00000	0.88470	0.61184	0.59335	0.60683	0.69335	0.57327	0.67899	0.82592	0.71634	0.69478	0.59617	0.77713	0.59574	0.92579	0.80156	0.57031	
D00951	0.71419	0.71033	0.67633	0.72973	0.77527	0.62197	0.68683	0.71583	0.70300	0.72621	0.75669	0.70188	0.72634	0.64173	0.73084	0.53549	0.70117	0.67207	0.61385	0.74641	0.62197	0.72072	0.73309	0.54979	0.70995	0.59289	0.55263	0.70756	0.58241	0.60572	0.57566	0.76039	0.49642	0.55929	0.71116	0.74464	1.00000	0.74464	0.75307	0.59475	0.61401	0.60121	0.72265	0.56811	0.69456	0.72081	0.70961	0.68514	0.61783	0.70925	0.61120	0.72434	0.72444	0.54577	
D00954	0.70155	0.82596	0.80779	0.91100	0.86498	0.63960	0.83276	0.71527	0.76741	0.68816	0.98462	0.72300	0.74055	0.60051	0.76056	0.55718	0.70702	0.73233	0.65023	0.82936	0.63960	0.70080	0.79169	0.56843	0.88782	0.58845	0.57907	0.77997	0.59608	0.59783	0.58746	0.71615	0.53529	0.58057	0.69073	1.00000	0.74027	1.00000	0.88470	0.61184	0.59335	0.60683	0.69335	0.57327	0.67899	0.82592	0.71634	0.69478	0.59617	0.77713	0.59574	0.92579	0.80156	0.57031	
D00956	0.69285	0.74880	0.76579	0.86524	0.82705	0.61460	0.79743	0.70657	0.69367	0.69789	0.90083	0.66928	0.72435	0.63082	0.73634	0.56138	0.68619	0.66726	0.61774	0.82088	0.61460	0.72142	0.74577	0.60755	0.81694	0.61095	0.57428	0.75238	0.57688	0.63303	0.59582	0.75220	0.53634	0.57590	0.69636	0.88750	0.75123	0.88750	1.00000	0.58053	0.65040	0.59162	0.70055	0.58534	0.73400	0.74645	0.70431	0.66528	0.58574	0.75493	0.59661	0.82318	0.75717	0.56062	
D00961	0.58417	0.63099	0.61849	0.61548	0.61940	0.62718	0.61501	0.60751	0.60286	0.57952	0.60834	0.59632	0.60322	0.53451	0.58501	0.65817	0.58638	0.58806	0.66607	0.60355	0.62718	0.60805	0.63099	0.64705	0.60530	0.76093	0.70709	0.61024	0.70253	0.64905	0.64483	0.57995	0.61724	0.70081	0.58592	0.60949	0.58877	0.60949	0.57595	1.00000	0.65048	0.70119	0.58888	0.72163	0.58108	0.61992	0.57688	0.59098	0.69740	0.59313	0.68659	0.60949	0.62615	0.52141	
D00962	0.60094	0.62884	0.58676	0.60079	0.58819	0.61807	0.59423	0.62838	0.63016	0.59979	0.59596	0.62036	0.62774	0.57806	0.59804	0.61268	0.62363	0.60745	0.65351	0.61368	0.61807	0.63989	0.59874	0.60693	0.59156	0.73241	0.63256	0.65228	0.62440	0.77141	0.65989	0.61860	0.54425	0.63388	0.62621	0.59567	0.61194	0.59567	0.65015	0.65486	1.00000	0.65230	0.62362	0.61851	0.63899	0.62829	0.63237	0.62227	0.64568	0.62500	0.61861	0.59998	0.58871	0.54425	
D00965	0.57995	0.60878	0.62290	0.61984	0.60665	0.65000	0.62333	0.60125	0.59557	0.57574	0.61244	0.58083	0.59845	0.53719	0.57275	0.62842	0.57162	0.60274	0.60659	0.62232	0.65000	0.58137	0.62323	0.65348	0.63061	0.75753	0.65318	0.58158	0.90692	0.64846	0.64538	0.57060	0.60632	0.65510	0.58900	0.60301	0.59386	0.60301	0.58552	0.69918	0.64663	1.00000	0.56872	0.65785	0.59248	0.59872	0.56607	0.57699	0.62836	0.58666	0.61890	0.60898	0.62567	0.56169	
D01115	0.72690	0.70410	0.63615	0.66670	0.70752	0.61080	0.64390	0.69158	0.71532	0.71099	0.68755	0.71358	0.68838	0.65960	0.69275	0.54268	0.73617	0.63743	0.60594	0.69270	0.61080	0.90561	0.69058	0.54073	0.66301	0.57961	0.53340	0.69418	0.56521	0.61151	0.56901	0.73700	0.49753	0.54436	0.68993	0.69895	0.72451	0.69895	0.70408	0.59614	0.62715	0.57723	1.00000	0.56962	0.64278	0.71851	0.73809	0.72137	0.61522	0.71838	0.58624	0.72690	0.64709	0.53216	
D01132	0.56357	0.59104	0.61664	0.58604	0.56694	0.64095	0.59967	0.56941	0.57889	0.56106	0.56902	0.56486	0.57994	0.50398	0.54666	0.73414	0.55642	0.56675	0.69537	0.58093	0.64095	0.56726	0.58381	0.64875	0.59564	0.68109	0.69560	0.57668	0.70371	0.64441	0.65306	0.54602	0.65503	0.66409	0.55979	0.56623	0.55845	0.56623	0.57668	0.71628	0.61000	0.65411	0.55884	1.00000	0.56343	0.58179	0.55705	0.56126	0.62551	0.56837	0.68714	0.58023	0.58369	0.59952	
D01161	0.71041	0.67411	0.63761	0.68281	0.71258	0.60804	0.64368	0.71015	0.66843	0.70231	0.69564	0.69668	0.68823	0.62945	0.68212	0.54917	0.69776	0.65146	0.59563	0.68451	0.60804	0.66301	0.68236	0.56221	0.65976	0.59652	0.56481	0.68558	0.57195	0.62323	0.58756	0.69623	0.51853	0.57088	0.71104	0.68465	0.69624	0.68465	0.73736	0.58821	0.64255	0.60087	0.64258	0.57392	1.00000	0.67367	0.71172	0.70091	0.59426	0.67254	0.58321	0.67289	0.69299	0.52854	
D01217	0.82817	0.97303	0.74206	0.84818	0.81508	0.62469	0.75975	0.71555	0.91410	0.76265	0.81106	0.71104	0.73623	0.58411	0.74084	0.56869	0.71921	0.70787	0.66723	0.81200	0.62469	0.72435	0.84683	0.56598	0.72953	0.61328	0.55576	0.74507	0.58631	0.63632	0.59161	0.68908	0.53334	0.56414	0.70084	0.82621	0.71667	0.82621	0.74390	0.62252	0.62623	0.60306	0.71311	0.58902	0.66842	1.00000	0.78010	0.73418	0.61079	0.80914	0.60873	0.76862	0.73456	0.56783	
D01294	0.74653	0.78019	0.70044	0.70459	0.70737	0.61240	0.67917	0.69172	0.80220	0.77179	0.70777	0.74038	0.74015	0.61465	0.72331	0.53306	0.72401	0.72497	0.60772	0.71182	0.61240	0.77306	0.73159	0.53647	0.68372	0.59187	0.53938	0.69981	0.56427	0.62749	0.59107	0.69868	0.49301	0.54621	0.69008	0.72011	0.70892	0.72011	0.70572	0.58254	0.63402	0.57290	0.73581	0.56648	0.70962	0.78364	1.00000	0.71705	0.61546	0.74659	0.58816	0.72179	0.68261	0.55483	
D01387	0.75885	0.74858	0.61682	0.68981	0.73192	0.60061	0.63145	0.70583	0.73135	0.75492	0.69534	0.73886	0.72501	0.64732	0.70420	0.53179	0.74303	0.67199	0.61663	0.79150	0.60061	0.71412	0.71376	0.52090	0.64608	0.59308	0.54146	0.70783	0.57528	0.60373	0.56968	0.68637	0.49025	0.54244	0.73075	0.70012	0.68838	0.70012	0.67005	0.59918	0.62723	0.58634	0.72271	0.57252	0.70263	0.74067	0.72067	1.00000	0.60309	0.77062	0.56277	0.70128	0.66131	0.49869	
D01441	0.59309	0.61318	0.59480	0.58256	0.57960	0.58912	0.59614	0.58930	0.61670	0.60845	0.59636	0.61071	0.59336	0.55923	0.60108	0.59680	0.60008	0.58745	0.65471	0.61804	0.58912	0.62176	0.59447	0.59435	0.60995	0.67452	0.62876	0.63379	0.61710	0.67730	0.67583	0.60194	0.56484	0.63009	0.58875	0.59826	0.61553	0.59826	0.58523	0.70158	0.64542	0.63411	0.61128	0.63388	0.59049	0.61262	0.61357	0.59793	1.00000	0.63590	0.65794	0.58579	0.63267	0.50248	
